"","item_id","cId","sgId"
"299",380614,168,33
"300",379664,91,16
"301",240504,81,16
"302",380873,140,33
"303",381324,168,2
"304",383393,140,16
"305",383394,140,22
"306",382201,91,18
"307",367204,91,16
"308",245098,91,43
"309",225542,2,43
"310",369514,140,78
"311",192997,91,79
"312",188708,140,14
"313",373355,81,16
"314",16943,81,16
"315",234557,81,16
"316",356309,81,16
"317",373779,81,16
"318",374181,81,16
"319",374165,91,79
"320",373630,81,16
"321",373937,91,79
"322",374782,81,16
"323",374780,168,16
"324",374803,81,16
"325",373779,168,16
"326",356309,168,16
"327",373599,81,16
"328",356936,81,16
"329",376060,91,14
"330",5980,5,16
"331",376483,2,14
"332",242081,91,16
"333",377022,81,16
"334",370024,81,16
"335",369678,81,16
"336",257659,81,16
"337",377033,140,16
"338",376743,81,16
"339",248046,140,68
"340",377034,140,68
"341",377159,81,16
"342",378183,5,43
"343",256928,91,20
"344",378233,81,16
"345",360107,81,16
"346",184926,140,14
"347",253361,140,20
"348",378991,168,57
"349",222910,1,43
"350",238402,81,16
"351",170640,5,58
"352",371504,81,16
"353",381563,81,16
"354",366325,168,16
"355",382128,81,16
"356",382122,168,44
"357",381326,81,16
"358",381559,81,16
"359",253339,1,33
"360",382127,81,16
"361",253343,5,33
"362",362503,140,79
"363",368627,91,20
"364",368786,168,39
"365",238619,81,16
"366",370783,2,43
"367",376464,2,16
"368",377556,81,16
"369",377551,168,33
"370",376743,5,16
"371",356991,168,16
"372",380374,3,21
"373",357679,81,16
"374",364018,3,43
"375",193112,140,33
"376",367850,81,16
"377",361542,91,16
"378",367720,140,18
"379",367547,140,16
"380",360106,81,16
"381",368196,140,16
"382",370134,81,16
"383",370160,168,18
"384",370022,81,16
"385",369536,91,18
"386",371387,81,16
"387",370470,81,16
"388",352969,117,12
"389",369714,140,18
"390",248980,140,78
"391",372813,81,16
"392",371555,140,16
"393",371631,140,22
"394",370726,140,16
"395",370482,117,12
"396",364229,91,18
"397",371030,140,18
"398",372866,117,12
"399",371396,117,12
"400",371538,117,12
"401",250911,140,14
"402",372308,117,12
"403",373505,91,18
"404",373914,117,12
"405",374121,117,12
"406",374136,91,18
"407",374135,91,18
"408",373242,91,18
"409",245352,117,12
"410",374760,117,12
"411",374765,117,12
"412",260224,117,12
"413",374762,117,12
"414",243476,91,43
"415",344934,117,12
"416",374041,91,18
"417",374019,117,12
"418",373913,117,12
"419",374842,168,2
"420",374841,168,2
"421",375447,117,12
"422",375612,91,18
"423",375449,117,12
"424",376073,140,20
"425",228530,140,79
"426",375429,91,72
"427",249532,91,18
"428",374344,134,16
"429",358714,117,12
"430",377061,140,57
"431",377547,168,33
"432",377582,168,57
"433",377315,91,16
"434",376356,91,18
"435",377493,91,14
"436",377054,140,12
"437",376719,140,16
"438",377032,140,16
"439",377559,117,12
"440",377673,117,12
"441",377230,91,18
"442",204064,140,33
"443",379846,117,12
"444",380482,117,12
"445",378694,91,68
"446",257289,91,18
"447",378694,140,68
"448",249081,140,16
"449",373626,81,16
"450",379991,81,16
"451",379242,168,33
"452",249179,91,18
"453",380658,117,12
"454",240923,2,33
"455",380550,91,16
"456",381591,140,16
"457",379666,91,68
"458",380962,117,12
"459",379868,117,12
"460",380023,140,16
"461",381587,140,20
"462",381486,2,33
"463",250414,2,33
"464",381871,91,16
"465",381595,91,18
"466",381589,140,16
"467",382149,81,16
"468",247616,81,16
"469",374806,168,2
"470",377573,168,18
"471",379729,91,16
"472",254282,36,33
"473",368823,81,16
"474",363696,168,2
"475",366267,134,16
"476",370195,91,20
"477",371506,168,16
"478",374808,168,33
"479",219165,81,16
"480",358712,117,12
"481",218380,81,16
"482",375877,168,39
"483",375060,81,16
"484",376595,174,2
"485",377715,81,16
"486",250261,81,16
"487",381329,81,16
"488",363533,134,16
"489",381865,91,16
"490",366266,134,16
"491",369184,91,70
"492",373189,91,43
"493",196090,140,78
"494",359644,36,33
"495",112842,36,33
"496",367899,36,33
"497",374949,91,16
"498",374124,168,57
"499",166891,36,33
"500",375936,168,2
"501",375020,140,18
"502",375892,91,14
"503",190508,140,16
"504",191834,140,44
"505",377701,140,68
"506",380751,140,2
"507",379663,140,2
"508",196287,140,43
"509",380851,168,33
"510",192824,91,22
"511",380616,168,57
"512",381769,81,44
"513",381586,140,14
"514",381323,168,2
"515",380355,168,33
"516",243477,91,16
"517",382456,140,14
"518",200321,36,33
"519",379021,36,33
