"","item_id","pId","cId","sgId"
"12817",52997218,4704,141,35
"12818",53039336,4704,160,35
"12819",53067473,219083,11,35
"12820",53067368,116495,141,35
"12821",53064093,4720,160,35
"12822",52454488,355691,166,35
"12823",53051319,345644,11,35
"12824",52454448,154940,166,35
"12825",53111596,219083,11,35
"12826",53225228,345644,11,35
"12827",53225102,364384,141,85
"12828",52454895,221836,166,35
"12829",53680013,111518,160,35
"12830",53659914,111518,160,35
"12831",51193064,8087,97,35
"12832",51061890,134673,166,35
"12833",51836813,346586,97,35
"12834",51434411,347899,166,35
"12835",51434412,4655,166,35
"12836",52000247,7758,97,35
"12837",51434477,355693,166,35
"12838",51434478,261649,166,35
"12839",52000385,362245,97,35
"12840",52000386,362245,97,35
"12841",52000391,7758,97,35
"12842",52000392,11987,97,35
"12843",51923463,261649,166,35
"12844",51923464,134673,166,35
"12845",52178420,362245,97,35
"12846",52178421,7758,97,35
"12847",51923820,187110,166,35
"12848",51923822,231164,166,35
"12849",52179259,358095,97,88
"12850",52394175,358095,97,88
"12851",52530850,102385,97,35
"12852",52530851,362245,97,35
"12853",52530855,362245,97,35
"12854",52530858,7758,97,35
"12855",52530859,7758,97,35
"12856",52530862,7758,97,35
"12857",52530864,7758,97,35
"12858",52530867,11987,97,35
"12859",52530868,11987,97,35
"12860",52530872,11987,97,35
"12861",52530875,11987,97,35
"12862",52530876,11987,97,35
"12863",52530877,11987,97,35
"12864",52530674,362245,97,35
"12865",52530681,11987,97,35
"12866",52530688,7758,97,35
"12867",52535089,11987,97,35
"12868",52535090,11987,97,35
"12869",52535092,11987,97,35
"12870",52454405,231164,166,35
"12871",52454406,4655,166,35
"12872",53074271,102385,97,35
"12873",53074272,102385,97,35
"12874",53074273,362245,97,35
"12875",53074274,362245,97,35
"12876",53074275,7758,97,35
"12877",54671127,111518,160,35
"12878",50022274,221836,166,35
"12879",50022275,359370,166,35
"12880",51193359,247752,97,35
"12881",51062094,4655,166,35
"12882",51062095,134673,166,35
"12883",51348446,62047,97,35
"12884",51348447,62047,97,35
"12885",51348448,62047,97,35
"12886",51348449,7758,97,35
"12887",51348450,7758,97,35
"12888",51348451,7758,97,35
"12889",51348452,7758,97,35
"12890",51348457,11987,97,35
"12891",51348458,11987,97,35
"12892",51348459,11987,97,35
"12893",51348460,11987,97,35
"12894",51062194,356033,166,35
"12895",51062558,356033,166,35
"12896",51062559,221836,166,35
"12897",52000205,11987,97,35
"12898",52000206,11987,97,35
"12899",51923597,4655,166,35
"12900",52000097,102385,97,35
"12901",52000098,362245,97,35
"12902",52000099,362245,97,35
"12903",52000100,7758,97,35
"12904",52178936,7758,97,35
"12905",52178937,7758,97,35
"12906",52178943,372790,97,35
"12907",52178944,372790,97,35
"12908",52178817,159966,97,35
"12909",51924109,221836,166,35
"12910",52365266,372058,11,35
"12911",52365268,345644,11,35
"12912",52365270,345644,11,35
"12913",52687704,345644,11,35
"12914",52687706,345644,11,35
"12915",52394024,125747,97,35
"12916",52537274,345644,11,35
"12917",52393609,346586,97,35
"12918",52393610,8087,97,35
"12919",52531134,125747,97,35
"12920",52531135,346586,97,35
"12921",52531137,8087,97,35
"12922",52959106,345644,11,35
"12923",52959107,345644,11,35
"12924",52980459,102385,97,35
